E1,E2,min_frequency,min_frequency_per_sample,bbrc_ds_nr_com,bbrc_ds_nr_f,bbrc_duration,merge_time,n_stripped_mss,n_stripped_cst,min_sampling_support,random_seed
-0.00341199808908202,0.00353437928903576,63,63.0,2020.0,295.0,8513.956976,11.2641496658325,964.0,46.0,15.0,36
-0.00360323263923312,0.00405638651924676,63,63.0,2023.0,252.0,8171.099283,9.42363858222961,1120.0,45.0,15.0,37
-0.00336877080013272,0.00459057972442046,63,63.0,2024.0,329.0,7305.097935,12.0813105106354,976.0,33.0,15.0,38
-0.0016030061341241,0.0027166250511168,63,63.0,2020.0,326.0,8003.950519,15.0908977985382,1626.0,27.0,15.0,39
-0.000232621631293468,0.0046395022065347,63,63.0,2003.0,314.0,2180.287258,10.3209435939789,1140.0,33.0,15.0,40
-0.00109501359334383,0.00455635290318718,63,63.0,2025.0,327.0,3918.399584,11.6717445850372,1355.0,26.0,15.0,41
-0.000503819889981772,0.00495162280638418,63,63.0,2012.0,323.0,2825.354171,12.6484386920929,1309.0,33.0,15.0,42
-0.0042503806804995,0.0042503806804995,63,63.0,2017.0,266.0,5327.191684,11.1361329555511,972.0,60.0,15.0,43
-0.00131690630928786,0.00444037363811622,63,63.0,2025.0,402.0,7649.539018,14.3338308334351,1507.0,50.0,15.0,44
-0.00171511544999111,0.00621764026039982,63,63.0,2022.0,287.0,8827.767721,10.3639123439789,1177.0,43.0,15.0,45
-0.0026427560420038,0.00473220120946497,63,63.0,2024.0,300.0,7404.242001,13.205367565155,1253.0,30.0,15.0,46
0.00163429688763578,0.00512782984120251,63,63.0,2026.0,284.0,4042.148653,8.89425158500671,873.0,27.0,15.0,47
0.00139621386229589,0.00662029121640375,63,63.0,2022.0,273.0,4721.423206,12.2073836326599,1347.0,36.0,15.0,48
-0.00589995077279831,0.00611426175445752,63,63.0,2018.0,394.0,2476.421071,11.1450927257538,1140.0,44.0,15.0,49
-0.00519488992381368,0.00712024061548655,63,63.0,2025.0,359.0,2140.283603,9.68124866485596,927.0,69.0,15.0,50
